Price,Carats,Color,Clarity,Cut
1000,0.3,E,VVS1,Excellent
1000,0.44,E,VS2,Excellent
1000,0.31,E,VVS1,Excellent
1000,0.66,K,SI1,Excellent
1000,0.47,H,VS2,Very Good
1000,0.4,G,VS1,Excellent
1000,0.36,D,VS2,Excellent
1000,0.52,H,SI2,Very Good
1001,0.53,D,SI2,Very Good
1001,0.43,F,VS2,Excellent
1001,0.43,F,VS2,Very Good
1001,0.43,F,VS2,Very Good
1001,0.3,E,VVS1,Good
1001,0.47,I,VS2,Excellent
1001,0.41,E,VS2,Excellent
1001,0.44,D,SI1,Excellent
1001,0.36,F,VVS2,Excellent
1001,0.4,E,VS1,Good
1001,0.4,E,VS1,Good
1002,0.32,F,IF,Very Good
1002,0.5,F,SI2,Very Good
1002,0.5,H,SI1,Good
1002,0.36,E,VS1,Excellent
1002,0.44,E,VS2,Excellent
1002,0.31,E,VVS1,Very Good
1017,0.45,F,VS2,Very Good
1017,0.51,I,SI1,Very Good
1017,0.3,E,VVS1,Excellent
1017,0.51,I,SI1,Ideal
1018,0.41,G,VS1,Ideal
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Very Good
1018,0.31,E,VVS1,Very Good
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Very Good
1018,0.4,F,VVS2,Very Good
1018,0.31,E,IF,Very Good
1018,0.31,E,IF,Very Good
1019,0.42,G,VVS2,Excellent
1019,0.33,D,VVS2,Ideal
1019,0.37,H,VVS1,Excellent
1019,0.45,J,VVS1,Very Good
1019,0.4,E,VS1,Good
1019,0.4,E,VS1,Very Good
1019,0.32,D,VVS1,Very Good
1019,0.32,D,VVS1,Excellent
1019,0.37,D,VVS2,Excellent
1036,0.33,E,VVS1,Excellent
1036,0.33,E,VVS1,Ideal
1037,0.37,E,VVS2,Very Good
1037,0.37,E,VVS2,Very Good
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.34,D,VVS1,Excellent
1037,0.37,E,VVS1,Excellent
1037,0.37,E,VVS1,Excellent
1037,0.5,D,SI2,Good
1037,0.33,F,VVS1,Excellent
1037,0.57,J,VS2,Good
1037,0.4,H,VVS1,Ideal
1037,0.4,H,VVS1,Excellent
1037,0.4,H,VVS1,Excellent
1037,0.4,H,VVS1,Excellent
1037,0.44,D,VS2,Excellent
1037,0.31,E,VVS1,Excellent
1037,0.31,D,VVS1,Excellent
1037,0.31,D,VVS1,Excellent
1037,0.4,F,VS1,Very Good
1037,0.4,F,VS1,Very Good
1053,0.32,F,VVS1,Ideal
1053,0.32,F,VVS1,Excellent
1053,0.4,F,VVS2,Very Good
1053,0.48,G,VS2,Very Good
1053,0.33,D,VVS2,Excellent
1054,0.38,E,VS1,Excellent
1054,0.32,E,IF,Excellent
1054,0.31,G,IF,Excellent
1054,0.53,F,SI2,Very Good
1054,0.42,D,VS1,Excellent
1054,0.42,D,VS1,Very Good
1054,0.34,F,IF,Very Good
1054,0.36,E,VVS1,Excellent
1054,0.51,J,VS1,Very Good
1054,0.34,E,VVS2,Excellent
1054,0.33,D,VVS1,Very Good
1055,0.33,E,VVS1,Excellent
1055,0.4,E,VS1,Very Good
1055,0.4,E,VS1,Very Good
1055,0.4,E,VS1,Excellent
1055,0.41,E,VS1,Very Good
1055,0.41,E,VS1,Very Good
1055,0.37,E,VS1,Excellent
1055,0.4,I,IF,Very Good
1055,0.37,D,VVS2,Excellent
1076,0.38,E,VS1,Excellent
1076,0.45,E,VS2,Excellent
1076,0.5,E,SI2,Very Good
1076,0.5,G,SI1,Excellent
1076,0.5,G,SI1,Excellent
1076,0.42,F,VS1,Very Good
1076,0.42,F,VS1,Excellent
1076,0.5,E,SI2,Excellent
1076,0.5,G,SI1,Very Good
1076,0.62,J,VS2,Good
1076,0.5,J,VS2,Excellent
1076,0.39,E,VVS1,Excellent
1076,0.39,E,VVS1,Excellent
1077,0.37,H,VVS1,Ideal
1077,0.37,D,VS1,Excellent
1077,0.37,D,VS1,Excellent
1077,0.54,H,SI2,Very Good
1077,0.46,D,VS2,Excellent
1077,0.57,J,VS2,Very Good
1077,0.36,G,VVS1,Excellent
1078,0.38,E,VS1,Ideal
1078,0.34,F,IF,Excellent
1078,0.31,E,VVS1,Ideal
1078,0.52,E,SI2,Excellent
1078,0.5,I,VS2,Very Good
1099,0.44,G,VVS2,Excellent
1099,0.35,G,IF,Ideal
1099,0.35,E,VVS2,Excellent
1099,0.55,G,SI1,Excellent
1100,0.32,F,IF,Ideal
1100,0.32,F,IF,Excellent
1100,0.33,F,VVS1,Excellent
1100,0.46,E,VS2,Good
1100,0.42,F,VVS2,Very Good
1100,0.44,F,VS2,Excellent
1101,0.5,E,SI1,Good
1101,0.4,F,VVS2,Excellent
1101,0.39,G,IF,Excellent
1101,0.62,K,VS1,Excellent
1101,0.3,E,IF,Very Good
1102,0.43,F,VS1,Very Good
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Very Good
1102,0.4,E,VS1,Excellent
1102,0.64,J,SI1,Excellent
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Very Good
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Excellent
1129,0.57,F,SI2,Very Good
1129,0.57,H,SI1,Excellent
1129,0.57,H,SI1,Very Good
